abréger	abréger un discours
acajou	acaiacatinga
accro	accro(ché)
accus	accumulateur
ad lib	ad libitum
adgo	adagio
afro	afro-american
ag	agitato
agrég	agrégation
ailurope	ailuropode
airedale	airedale terrier
allo	allegro
alloc	allocation
allèle	allélomorphe
alltto	allégretto
allo	allégro
alu	aluminium
amphi	amphithéâtre
amphé	amphétamine
ampli	amplificateur
ampli	amplificateur
anar	anarchiste
anatife	anatifère
anciennt	anciennement
andno	andantino
animal	animaux fabuleux
anti-g	antigravitationnel
antiar	antiaris toxicaria
antilog	antilogarithme
appart	appartement
apéro	apéritif
archi	architecture
artiche	artichaut
aster	astérisque
auto	automobile
averto	avertissement
avis	avis au lecteur 
aéro	aéroplane
aéro	aéroplane
bac	baccalauréat
baccalauréat	baccalauréat ès arts
bactério	bactériologie
bande	bandes latérales indépendantes
baz	bazar
beach	beach-volley
beauf	beau-frère
beauf	beau-frère
beaujo	beaujolais
biblio	bibliographie
biclou	bicyclette
biclo	bicyclette
biclo	biclot
biclo	biclou
bif	bifteck
bifur	bifurcation
bigne	bignouf
bign'	bignouf
bigo	bigophone
bigor	bigorneau
bino	binoculaire
bio	biographie
bio	biologique
bi	bisexuel
bit	binary digit
blair	blaireau
bob	bobinette
bobeur	bobsleigh
bob	bobsleigh
bock	bocal
bombe	bombance
book	bookmaker
boston	boston dip
bouche	bouche en cul
boude	boudin
bourbon	bourbon whisky
bourge	bourgeois
bourgue	bourguignon
boustiffe	boustifaille
braco	braconnier
braco	braconnier
brandy	brand-wine
brick	brigantine
bricolo	bricoleur
broco	brocanteur
bugle	bugle-horn
bull	bulldozer
bélino	bélinogramme
bélino	bélinographe
cab	cabriolet
cab	cabot
cabot	caporal
cabot	cabotin
calva	calvados
came	camelote
cap'	capable
cardio	cardiologie
cardio	cardiologie
cardio	cardiologue
casse	cassement
catch	catch as catch can
catho	catholique
catin	catherine
cellulo	celluloïd
certif	certificat
chti	ch'timi
cha-cha	cha-cha-cha
champ'	champagne
champe	champagne
ch	cheval
chewing	chewing-gum
chimio	chimiothérapie
chipo	chipolata
chiro	chiropracteur
chir	chirurgie
chirurgo	chirurgien
chromo	chromolithographie
chrono	chronomètre
chrono	chronométreur
chti	chtimi
château	châteaubriant
ciné	cinéma
cinéma	cinématographe
claustro	claustrophobie
client	clille
clito	clitoris
coca	cocaïne
coco	cocaïne
cogne	cognac
collabo	collaborateur
collec	collection
colog	cologarithme
colon	colonel
combine	combinaison
commonwealth	commonwealth of nations
compil	compilation
compile	compilation
compta	comptabilité
compte	compte chèque postal
compé	compétition
condo	condominium
congélo	congélateur
conseil	conseil d'administration
conso	consommation
corono	coronarographie
cosec	cosécante
croco	crocodile
cuti	cuti-réaction
cyclo	cyclomoteur
cyno	cynocéphale
dactyle	dactylopodite
deb	debutante
der	dernier
derch	derrière
derche	derrière
derge	derrière
dermato	dermatologie
diapo	diapositive
didact	didactique
dirlo	directeur
direction	direction paris
dissert(e)	dissertation
division	division aéroportée
doc	docteur en médecine
doc	document
docu	documentaire
doc	documentation
drug	drug-store
drug	drugstore
déca	décaféiné
déca	décaféiner
déci	décilitre
décontracte	décontracté
déco	décoration
dégueu	dégueulasse
démago	démagogue
dém	démission
désintox(e)	désintoxication
ecsta	ecstasy
embroc	embrocation
emmerde	emmerdement
entourloupe	entourloupette
esq.	esquire
esq	esquire
estom	estomac
estome	estomac
et al	et alia
et al	et alii
et al	et aliæ
etc	et cetera
etc	et cætera
ethno	ethnologie
ethno	ethnologie
exc	excellence
exhibi	exhibitionniste
export	exportation
exposition	exposition van gogh
extra	extraordinaire
fac	faculté
facob	facultatif obligatoire
false	falzar
fan	fanatic
fana	fanatique
far	farci
ferro	ferroprussiate
flag	flagrant délit
flague	flagrant délit
flingot	flingue
flip	flipper
fluo	fluorescent
fluo	fluorescent
folklo	folklorique
formid	formidable
fort	forte
fortifes	fortifications
fortifs	fortifications
fox	fox-terrier
fox	fox-terrier
franc	franc c. f. a
franco	franco porto
fric	fricot
frigo	frigorifié
frigo	frigorifique
froido	froidement
fromage	fromegi
fromage	frometon
funi	funiculaire
fut'	futal
futé	fut'-fut'
gallon	gal. can
galure	galurin
galvano	galvanoplastie
galvano	galvanotype
gaspille	gaspillage
gastro	gastronomique
gestape	gestapo
giga	gigaoctet
gin	gin-rami
gin	gin-rummy
goal	goal-keeper
